state,city,airport,locid,ownership,hub,role,Current,year5,enplaned,based,Devestimate
AK,Adak Island,Adak,ADK,PU,,Basic,GA,GA,"2,194",0,"$15,500,000"
AK,Akhiok,Akhiok,AKK,PU,,Basic,GA,GA,"1,243",0,"$9,842,105"
AK,Akiachak,Akiachak,Z13,NA,,Local,CS,CS,"3,771",0,$0
AK,Akiak,Akiak,AKI,PU,,Basic,GA,GA,"2,226",0,"$818,605"
AK,Akutan,Akutan,7AK,PU,,Basic,GA,GA,"2,051",0,$0
AK,Akutan,Akutan,KQA,PU,,Basic,GA,GA,23,0,$0
AK,Alakanuk,Alakanuk,AUK,PU,,Local,CS,CS,"5,042",0,"$343,213"
AK,Aleknagik,Aleknagik/New,5A8,PU,,Basic,GA,GA,19,0,$0
AK,Allakaket,Allakaket,6A8,PU,,Basic,GA,GA,"1,851",0,$0
AK,Ambler,Ambler,AFM,PU,,Basic,GA,GA,"2,120",1,$0
AK,Anaktuvuk Pass,Anaktuvuk Pass,AKP,PU,,Local,CS,CS,"3,796",0,"$315,789"
AK,Anchorage,Lake Hood,LHD,PU,N,,P,P,"13,545","1,032","$14,080,000"
AK,Anchorage,Merrill Field,MRI,PU,N,,P,P,"22,210",844,"$28,904,084"
AK,Anchorage,Ted Stevens Anchorage International,ANC,PU,M,,P,P,"2,381,826",98,"$239,853,776"
AK,Angoon,Angoon,AGN,PU,,Basic,GA,GA,"1,670",0,$0
AK,Angoon,Angoon (Proposed GA),+07E,PU,,,,GA,0,0,"$31,399,869"
AK,Aniak,Aniak,ANI,PU,N,,P,P,"12,955",19,"$61,585,334"
AK,Anvik,Anvik,ANV,PU,,Basic,GA,GA,817,0,$0
AK,Arctic Village,Arctic Village,ARC,NA,,Basic,GA,GA,"1,707",0,$0
AK,Atka,Atka,AKA,PU,,Basic,GA,GA,292,0,$0
AK,Atmautluak,Atmautluak,4A2,PU,,Local,CS,CS,"2,959",0,"$1,221,838"
AK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,ATK,PU,,Basic,GA,GA,"2,004",0,"$23,000,000"
AK,Baranof,Warm Spring Bay,BNF,PU,,Unclassified,GA,GA,0,0,$0
AK,Barrow,Wiley Post-Will Rogers Memorial,BRW,PU,N,,P,P,"56,995",8,"$75,127,618"
AK,Barter Island Lrrs,Barter Island LRRS,BTI,MA,,Local,CS,CS,"2,925",0,$0
AK,Beaver,Beaver,WBQ,PU,,Basic,GA,GA,946,0,"$6,830,063"
AK,Bethel,Bethel,BET,PU,N,,P,P,"155,936",233,"$25,910,533"
AK,Bettles,Bettles,BTT,PU,,Basic,GA,GA,"2,035",12,"$12,293,809"
AK,Big Lake,Big Lake,BGQ,PU,,Local,GA,GA,0,65,"$1,160,373"
AK,Birch Creek,Birch Creek,Z91,PU,,Basic,GA,GA,261,0,"$963,396"
AK,Birchwood,Birchwood,BCV,PU,,Local,GA,GA,0,273,"$4,266,667"
AK,Boundary,Boundary,BYA,PU,,Basic,GA,GA,5,0,$0
AK,Brevig Mission,Brevig Mission,KTS,PU,,Basic,GA,GA,"1,948",0,$0
AK,Buckland,Buckland,BVK,PU,,Local,CS,CS,"4,009",1,"$657,067"
AK,Central,Central,CEM,PU,,Basic,GA,GA,12,0,$0
AK,Chalkyitsik,Chalkyitsik,CIK,PU,,Basic,GA,GA,762,0,"$14,890,266"
AK,Chandalar Camp,Chandalar Shelf,5CD,PU,,Basic,GA,GA,0,0,"$2,666,666"
AK,Chandalar Lake,Chandalar Lake,WCR,PU,,Basic,GA,GA,47,0,$0
AK,Chefornak,Chefornak,CFK,PU,,Local,CS,CS,"4,590",0,"$948,432"
AK,Chenega,Chenega Bay,C05,PU,,Basic,GA,GA,0,0,"$184,000"
AK,Chevak,Chevak,VAK,PU,,Local,CS,CS,"5,690",0,"$326,870"
AK,Chicken,Chicken,CKX,PU,,Basic,GA,GA,26,0,$0
AK,Chignik,Chignik,AJC,PU,,Basic,GA,GA,247,0,"$860,373"
AK,Chignik Lagoon,Chignik Lagoon,KCL,PU,,Basic,GA,GA,257,0,$0
AK,Chignik Lake,Chignik Lake,A79,PU,,Basic,GA,GA,576,0,"$1,000,000"
AK,Chisana,Chisana,CZN,PU,,Basic,GA,GA,91,0,$0
AK,Chitina,Chitina,CXC,PU,,Basic,GA,GA,20,2,"$1,605,060"
AK,Chuathbaluk,Chuathbaluk,9A3,PU,,Basic,GA,GA,399,0,"$602,288"
AK,Circle,Circle City,CRC,PU,,Basic,GA,GA,406,0,"$1,578,948"
AK,Circle Hot Springs,Circle Hot Springs,CHP,PU,,Unclassified,GA,GA,15,0,$0
AK,Clarks Point,Clarks Point,CLP,PU,,Basic,GA,GA,495,1,"$4,266,667"
AK,Clear,Clear,Z84,PU,,Unclassified,GA,GA,2,3,$0
AK,Coffman Cove,Coffman Cove,KCC,PU,,Basic,GA,GA,138,0,$0
AK,Cold Bay,Cold Bay,CDB,PU,,Local,CS,CS,"8,172",0,"$486,901"
AK,Coldfoot,Coldfoot,CXF,PU,,Local,CS,CS,"5,962",3,$0
AK,Cordova,Cordova Municipal,CKU,PU,,Basic,GA,GA,0,22,$0
AK,Cordova,Merle K (Mudhole) Smith,CDV,PU,N,,P,P,"14,479",29,"$43,369,452"
AK,Council,Council,K29,PU,,Basic,GA,GA,0,0,$0
AK,Craig,Craig,CGA,PU,,Local,CS,CS,"2,869",0,$0
AK,Crooked Creek,Crooked Creek,CJX,PU,,Basic,GA,GA,404,0,"$25,297,720"
AK,Dahl Creek,Dahl Creek,DCK,PU,,Unclassified,GA,GA,14,0,$0
AK,Deadhorse,Deadhorse,SCC,PU,N,,P,P,"56,001",10,"$29,370,667"
AK,Deering,Deering,DEE,PU,,Basic,GA,GA,"1,571",0,"$1,621,334"
AK,Dillingham,Dillingham,DLG,PU,N,,P,P,"39,414",41,"$16,301,643"
AK,Diomede,Diomede,DM2,PU,,Basic,GA,GA,0,0,"$1,526,315"
AK,Eagle,Eagle,EAA,PU,,Basic,GA,GA,596,1,"$2,026,667"
AK,Eek,Eek,EEK,PU,,Local,CS,CS,"3,857",0,"$761,501"
AK,Egegik,Egegik,EII,PU,,Basic,GA,GA,"1,168",0,$0
AK,Ekwok,Ekwok,KEK,PU,,Basic,GA,GA,190,0,$0
AK,Elfin Cove,Elfin Cove,ELV,PU,,Basic,GA,GA,546,0,$0
AK,Elim,Elim,ELI,PU,,Basic,GA,GA,"2,145",0,"$429,333"
AK,Emmonak,Emmonak,ENM,PU,,Local,CS,CS,"9,447",1,"$1,246,689"
AK,Excursion Inlet,Excursion Inlet,EXI,PU,,Basic,GA,GA,37,0,$0
AK,Fairbanks,Fairbanks International,FAI,PU,S,,P,P,"459,769",570,"$39,221,504"
AK,False Pass,False Pass,KFP,PU,,Basic,GA,GA,361,0,$0
AK,Flat,Flat,FLT,PU,,Basic,GA,GA,2,0,$0
AK,Fort Yukon,Fort Yukon,FYU,PU,,Local,CS,CS,"7,148",0,$0
AK,Funter Bay,Funter Bay,FNR,PU,,Basic,GA,GA,6,0,$0
AK,Galbraith Lake,Galbraith Lake,GBH,PU,,Basic,GA,GA,466,0,$0
AK,Galena,Edward G Pitka Sr,GAL,PU,N,,P,P,"12,349",13,"$21,922,146"
AK,Gambell,Gambell,GAM,PU,,Local,CS,CS,"3,420",0,"$10,423,333"
AK,Girdwood,Girdwood,AQY,PU,,Basic,GA,GA,0,16,$0
AK,Golovin,Golovin,GLV,PU,,Basic,GA,GA,"1,873",0,"$290,000"
AK,Goodnews,Goodnews,GNU,PU,,Basic,GA,GA,"1,410",0,$0
AK,Goose Bay,Goose Bay,Z40,PU,,Unclassified,GA,GA,0,0,$0
AK,Grayling,Grayling,KGX,PU,,Basic,GA,GA,972,0,"$495,000"
AK,Gulkana,Gulkana,GKN,PU,,Basic,GA,GA,0,13,"$775,232"
AK,Gustavus,Gustavus,GST,PU,,Local,CS,CS,"9,484",0,"$16,315,789"
AK,Haines,Haines,3Z9,PU,,Unclassified,GA,GA,0,0,$0
AK,Haines,Haines,HNS,PU,,Local,CS,CS,"8,368",0,"$12,800,000"
AK,Healy,Healy River,HRR,PU,,Basic,GA,GA,10,6,"$842,105"
AK,Hollis,Hollis Clark Bay,HYL,PU,,Basic,GA,GA,"1,326",0,$0
AK,Holy Cross,Holy Cross,HCA,PU,,Basic,GA,GA,"1,323",0,"$10,886,689"
AK,Homer,Homer,HOM,PU,N,,P,P,"38,862",93,"$17,812,982"
AK,Hoonah,Hoonah,HNH,PU,,Local,CS,CS,"9,849",0,"$429,333"
AK,Hoonah,Hoonah,OOH,PU,,Unclassified,GA,GA,0,0,$0
AK,Hooper Bay,Hooper Bay,HPB,PU,,Local,CS,CS,"5,460",0,"$544,373"
AK,Hope,Hope,5HO,PU,,Basic,GA,GA,0,9,$0
AK,Hughes,Hughes,HUS,PU,,Basic,GA,GA,966,0,"$9,286,130"
AK,Huslia,Huslia,HLA,PU,,Local,CS,CS,"3,269",1,"$1,350,689"
AK,Hydaburg,Hydaburg,HYG,PU,,Basic,GA,GA,32,0,$0
AK,Hyder,Hyder,4Z7,PU,,Basic,GA,GA,110,0,$0
AK,Igiugig,Igiugig,IGG,PU,,Basic,GA,GA,622,0,$0
AK,Iliamna,Iliamna,ILI,PU,,Local,CS,CS,"6,092",29,$0
AK,Juneau,Juneau Harbor,5Z1,PU,,Basic,GA,GA,0,0,$0
AK,Juneau,Juneau International,JNU,PU,N,,P,P,"375,828",325,"$50,568,882"
AK,Kake,Kake,AFE,PU,,Basic,GA,GA,0,0,"$21,120,000"
AK,Kake,Kake,KAE,PU,,Basic,GA,GA,"1,883",0,$0
AK,Kaktovik,Kaktovik (Proposed CS),+08O,PU,,,,CS,0,0,"$2,850,471"
AK,Kalskag,Kalskag,KLG,PU,,Local,CS,CS,"3,060",0,$0
AK,Kaltag,Kaltag,KAL,PU,,Basic,GA,GA,"1,631",0,"$6,818,288"
AK,Kantishna,Kantishna,5Z5,PU,,Basic,GA,GA,0,0,$0
AK,Karluk,Karluk,KYK,PU,,Basic,GA,GA,246,0,$0
AK,Kasaan,Kasaan,KXA,PU,,Basic,GA,GA,123,0,$0
AK,Kasigluk,Kasigluk,Z09,PU,,Local,CS,CS,"4,719",0,"$1,559,605"
AK,Kenai,Kenai Municipal,ENA,PU,N,,P,P,"100,448",61,"$21,558,608"
AK,Ketchikan,Ketchikan International,KTN,PU,N,,P,P,"115,948",5,"$8,941,820"
AK,Ketchikan,Murphys Pullout,8K9,PU,,Unclassified,GA,GA,0,8,$0
AK,Kiana,Bob Baker Memorial,IAN,PU,,Local,CS,CS,"3,388",0,"$18,263,213"
AK,King Cove,King Cove,KVC,PU,,Basic,GA,GA,"2,360",0,$0
AK,King Salmon,King Salmon,AKN,PU,N,,P,P,"35,012",39,"$49,466,667"
AK,Kipnuk,Kipnuk,IIK,PU,,Local,CS,CS,"6,451",0,"$378,393"
AK,Kitoi Bay,Kitoi Bay,KKB,PU,,Basic,GA,GA,38,0,$0
AK,Kivalina,Kivalina,KVL,PU,,Local,CS,CS,"3,171",0,"$10,001,667"
AK,Klawock,Klawock,AKW,PU,,Local,CS,CS,"7,780",7,"$9,813,333"
AK,Klawock,Klawock,AQC,PU,,Unclassified,GA,GA,0,0,$0
AK,Kobuk,Kobuk,OBU,PU,,Basic,GA,GA,"1,342",0,"$579,700"
AK,Kodiak,Kodiak,ADQ,PU,N,,P,P,"79,966",55,"$26,400,000"
AK,Kodiak,Kodiak Municipal,KDK,PU,,Basic,GA,GA,0,19,$0
AK,Kodiak,Trident Basin,T44,PU,,Basic,GA,GA,0,11,"$533,333"
AK,Kokhanok,Kokhanok,9K2,PU,,Basic,GA,GA,"1,063",0,"$290,000"
AK,Koliganek,Koliganek,JZZ,PU,,Basic,GA,GA,616,1,"$343,213"
